address,county,bed,bath,prop_type,area,price,price_n
"2 The Avenue, Cypress Downs, Templeogue, Dublin 6W", Dublin 6W,4 Bed,3 Bath,Detached,135 m²,"€1,100,000",1100000.0
"30a Cypress Grove Road, Templeogue, Dublin 6W", Dublin 6W,3 Bed,3 Bath,Detached,,"€895,000",895000.0
"Four Seasons Drive, Ennis, Co. Clare", Co. Clare,4 Bed,4 Bath,Detached,256 m²,"€545,000",545000.0
"149A Rosemount, Clongour, Thurles, Co. Tipperary", Co. Tipperary,4 Bed,3 Bath,Detached,121 m²,"€250,000",250000.0
"Oakpark Road, Tralee, Co. Kerry", Co. Kerry,4 Bed,3 Bath,Semi-D,186 m²,"€375,000",375000.0
"Boston House, Liss, Kilkenny, Co. Kilkenny", Co. Kilkenny,4 Bed,2 Bath,Detached,300 m²,"€450,000",450000.0
"Troyswood, Kilkenny, Co. Kilkenny", Co. Kilkenny,4 Bed,2 Bath,Detached,167 m²,"€575,000",575000.0
"28 Grosvenor Lodge, Rathmines, Dublin 6", Dublin 6,2 Bed,1 Bath,Terrace,70 m²,"€415,000",415000.0
"31 Fergus View, Cappahard, Ennis, Co. Clare", Co. Clare,4 Bed,3 Bath,Semi-D,104 m²,"€195,000",195000.0
"1 Westerton Rise, Dundrum, Dublin 14", Dublin 14,4 Bed,1 Bath,Detached,170 m²,"€745,000",745000.0
"The Paddocks, Kilbrew, Ashbourne, Co. Meath", Co. Meath,,,Site,31 ac,"€775,000",775000.0
"Forest Hill, Ballineadig, Ovens, Co. Cork", Co. Cork,4 Bed,4 Bath,Detached,,"€499,000",499000.0
"Bishopswater House, Distillery Road, Wexford Town, Co. Wexford", Co. Wexford,4 Bed,2 Bath,Detached,,"€295,000",295000.0
"Grianblah, 26 Palmerston Park, Rathmines, Dublin 6", Dublin 6,5 Bed,5 Bath,Detached,520 m²,"€4,250,000",4250000.0
"Liscahill, Edgeworthstown, Co. Longford", Co. Longford,4 Bed,2 Bath,Detached,218 m²,"AMV: €165,000",165000.0
"Mountdruid Cottage Ballinagare, Castlerea, Co. Roscommon", Co. Roscommon,2 Bed,1 Bath,Detached,88 m²,"€120,000",120000.0
"45A Estuary Court, Swords, Co. Dublin", Co. Dublin,2 Bed,1 Bath,Apartment,56 m²,"€260,000",260000.0
"Ridgeway, Ballymanus Lower, Glenealy, Co. Wicklow", Co. Wicklow,4 Bed,2 Bath,Detached,125 m²,"€595,000",595000.0
"Cregg Road, Oughterard, Co. Galway", Co. Galway,4 Bed,4 Bath,Detached,335 m²,"€525,000",525000.0
"Mount Alto, Ballycocksoost, Inistioge, Co. Kilkenny", Co. Kilkenny,4 Bed,3 Bath,Detached,235 m²,"€565,000",565000.0
"120 Crann Nua, Portarlington, Co. Laois", Co. Laois,3 Bed,2 Bath,Semi-D,,"€215,000",215000.0
"1 Louisa Crescent, Redwood, Tullamore, Co. Offaly", Co. Offaly,3 Bed,2 Bath,Bungalow,94 m²,"€315,000",315000.0
"41 Ashwood Road, Clondalkin, Dublin 22", Dublin 22,3 Bed,1 Bath,Semi-D,102 m²,"€340,000",340000.0
"Shangan, Butlerstown, Co. Waterford", Co. Waterford,4 Bed,6 Bath,Detached,304 m²,"€495,000",495000.0
"Moneymore, Carlingford, Co. Louth", Co. Louth,5 Bed,3 Bath,Bungalow,200 m²,"€400,000",400000.0
