address,county,bed,bath,prop_type,area,price,price_n
"4 Beechgrove, Geashill, Co. Offaly", Co. Offaly,3 Bed,2 Bath,End of Terrace,108 m²,"€195,000",195000.0
"Stanley Court, 62-63 Prussia Street, Stoneybatter, Dublin 7", Dublin 7,1 Bed,1 Bath,Apartment,54 m²,"€199,000",199000.0
"Saint Jude, 22 The Willows, Monasterevin, Co. Kildare", Co. Kildare,3 Bed,3 Bath,Semi-D,128 m²,"€240,000",240000.0
"null, Summerhill, Co. Meath", Co. Meath,6 Bed,1 Bath,End of Terrace,,"€190,000",190000.0
"26 Wood Green, Forest Park, Dromahair, Co. Leitrim", Co. Leitrim,4 Bed,3 Bath,Detached,131 m²,"€219,000",219000.0
"Drumbaun, Curry, Co. Sligo", Co. Sligo,4 Bed,3 Bath,Bungalow,198 m²,"€250,000",250000.0
"81 Waterloo Place, Waterloo Lane, Ballsbridge, Dublin 4", Dublin 4,3 Bed,4 Bath,Detached,160 m²,"€1,195,000",1195000.0
"Milltown, Charleville, Co. Cork", Co. Cork,4 Bed,3 Bath,Bungalow,176 m²,"€295,000",295000.0
"10 Fairways Grove, Griffith Road, Glasnevin, Dublin 11", Dublin 11,5 Bed,4 Bath,Semi-D,,"€499,950",499950.0
"24 Liffey Way, Liffey Valley Park, Lucan, Co. Dublin", Co. Dublin,3 Bed,3 Bath,Semi-D,103 m²,"€325,000",325000.0
"35 Liam Mellows Park, Wexford Town, Co. Wexford", Co. Wexford,3 Bed,1 Bath,Terrace,82 m²,"€153,000",153000.0
"Kinnalargy School, Kinnalargy, Downings, Co. Donegal", Co. Donegal,4 Bed,1 Bath,Detached,118 m²,"€190,000",190000.0
"Marlfield Road, Clonmel, Co. Tipperary", Co. Tipperary,5 Bed,4 Bath,Detached,,Price on Application,0.0
"52 Grange View Road, Clondalkin, Dublin 22", Dublin 22,5 Bed,2 Bath,Terrace,118 m²,"€289,950",289950.0
"Apartment 17, Hazelgrove Court, Tallaght, Dublin 24", Dublin 24,2 Bed,2 Bath,Apartment,65 m²,"€215,000",215000.0
"29 Gould Street, Co. Cork", Co. Cork,3 Bed,1 Bath,Terrace,60 m²,"€225,000",225000.0
"85 Cluain Airne, Shannon, Co. Clare", Co. Clare,3 Bed,1 Bath,End of Terrace,89 m²,"€155,000",155000.0
"24 Holywell Avenue, Swords, Co. Dublin", Co. Dublin,2 Bed,1 Bath,Apartment,65 m²,"€230,000",230000.0
"5 Deansrath Avenue, Clondalkin, Dublin 22", Dublin 22,3 Bed,1 Bath,End of Terrace,82 m²,"€239,950",239950.0
"Ballynaparson House, Ballinaparson, Glanmire, Co. Cork", Co. Cork,5 Bed,3 Bath,Detached,227 m²,"€590,000",590000.0
"34 Oakwood, Ballinderreen, Co. Galway", Co. Galway,4 Bed,3 Bath,Detached,188 m²,"€395,000",395000.0
"KINSALE BOOKSHOP, 8 Main Street, Kinsale, Co. Cork", Co. Cork,3 Bed,1 Bath,Detached,166 m²,"€475,000",475000.0
"54 Cnoc Na Gaoithe, Lanesborough, Co. Longford", Co. Longford,3 Bed,1 Bath,Semi-D,,"€120,000",120000.0
"26 Stoneyford Park, Delvin, Co. Westmeath", Co. Westmeath,5 Bed,2 Bath,Detached,,"€259,950",259950.0
"Rathcahill, Newcastle West, Co. Limerick", Co. Limerick,1 Bed,1 Bath,Detached,,Price on Application,0.0
"21B Ranelagh Avenue, Ranelagh, Dublin 6", Dublin 6,2 Bed,1 Bath,Terrace,63 m²,"€420,000",420000.0
"14 Rathmintin Drive, Jobstown, Tallaght, Dublin 24", Dublin 24,3 Bed,1 Bath,End of Terrace,,"€225,000",225000.0
"Glencar, 46 Farranlea Grove, Model Farm Road, Co. Cork", Co. Cork,3 Bed,2 Bath,Semi-D,,"€359,000",359000.0
"17 Lorcan Grove, Santry, Dublin 9", Dublin 9,3 Bed,1 Bath,Semi-D,98 m²,"€399,000",399000.0
"15 Wainsfort Park, Terenure, Dublin 6", Dublin 6,3 Bed,1 Bath,Semi-D,108 m²,"€695,000",695000.0
"Skehacrine, Abbeyside, Dungarvan, Co. Waterford", Co. Waterford,4 Bed,3 Bath,Detached,279 m²,"€845,000",845000.0
"Mullinary Road, Carrickmacross, Co. Monaghan", Co. Monaghan,,,Site,0.26 ac,"€330,000",330000.0
"Padova, Millbrook Avenue, Athlone, Co. Roscommon", Co. Roscommon,5 Bed,2 Bath,Semi-D,,"€240,000",240000.0
"Mullinary Road, Carrickmacross, Co. Monaghan", Co. Monaghan,3 Bed,2 Bath,Detached,80 m²,"€330,000",330000.0
"Apt 3 The Sycamore, Athlumney Wood, Navan, Co. Meath", Co. Meath,2 Bed,2 Bath,Apartment,,"€198,000",198000.0
"3 Kilcarberry Court, Clondalkin, Dublin 22", Dublin 22,3 Bed,2 Bath,Semi-D,,"€309,000",309000.0
"Garadice, Kilcock, Co. Meath", Co. Meath,,,Site,0.5 ac,"€120,000",120000.0
"21 Ellensborough Lodge, Kiltipper, Tallaght, Dublin 24", Dublin 24,2 Bed,1 Bath,Apartment,67 m²,"€225,000",225000.0
"Apartment 21, The Bay, Merrion, Dublin 4", Dublin 4,1 Bed,1 Bath,Apartment,60 m²,"€330,000",330000.0
"10 The Kilns, Station Road, Portmarnock, Co. Dublin", Co. Dublin,4 Bed,4 Bath,Terrace,172 m²,"€625,000",625000.0
"Ballygiblin, Mitchelstown, Co. Cork", Co. Cork,1 Bed,1 Bath,Detached,,"€210,000",210000.0
"96A Willbrook, Whitechurch Road, Rathfarnham, Dublin 14", Dublin 14,3 Bed,3 Bath,Semi-D,100 m²,"€550,000",550000.0
"33 Templeroan Grove, Knocklyon, Dublin 16", Dublin 16,,,Site,0.02 ac,"€550,000",550000.0
"Old School Drumhcurrin, Glangevlin, Co. Cavan", Co. Cavan,1 Bed,,Detached,130 m²,"€45,000",45000.0
"41 Hampton Wood Drive, Saint Margaret's Road, Finglas, Dublin 11", Dublin 11,3 Bed,3 Bath,Terrace,95 m²,"€249,000",249000.0
"Liosloran Lodge, Mill Road, Corbally, Co. Limerick", Co. Limerick,4 Bed,4 Bath,Detached,,"€750,000",750000.0
"Old Curratavey School, Glangevlin, Co. Cavan", Co. Cavan,1 Bed,,Detached,10 m²,"€45,000",45000.0
"8 The Oak, Grattan Wood, Hole In The Wall Road, Donaghmede, Dublin 13", Dublin 13,2 Bed,2 Bath,Apartment,66 m²,"€240,000",240000.0
"15 The Court, Lus an Ime, Cloyne, Midleton, Co. Cork", Co. Cork,3 Bed,3 Bath,End of Terrace,90 m²,"€245,000",245000.0
"4 Saint Mobhi Grove, Glasnevin, Dublin 9", Dublin 9,3 Bed,1 Bath,Semi-D,93 m²,"€590,000",590000.0
"Rus In Urbe, Regent Street, Bagenalstown, Co. Carlow", Co. Carlow,4 Bed,2 Bath,Detached,280 m²,"€549,999",549999.0
"47 Cronan Park, Shannon, Co. Clare", Co. Clare,3 Bed,2 Bath,Terrace,97 m²,"€165,000",165000.0
"71 Moy House, Custom House Square, IFSC, Dublin 1", Dublin 1,2 Bed,1 Bath,Apartment,67 m²,"€335,000",335000.0
"11 Belfry Drive, Saint Alphonsus Road, Dundalk, Co. Louth", Co. Louth,4 Bed,3 Bath,Semi-D,,"€310,000",310000.0
"8 Emerald Terrace, St. Catherine's, South City Centre, Dublin 8", Dublin 8,2 Bed,1 Bath,Terrace,56 m²,"€280,000",280000.0
"Development Site, Clarmallagh, The Swan, Co. Laois, Carlow Town, Co. Carlow", Co. Carlow,,,Site,,"€450,000",450000.0
"46 Viking Road Stoneybatter Dublin 7, Stoneybatter, Dublin 7", Dublin 7,2 Bed,1 Bath,Terrace,60 m²,"€415,000",415000.0
"51 Delbrook Manor Dundrum Dublin 16, Dundrum, Dublin 16", Dublin 16,5 Bed,3 Bath,Detached,204 m²,"€1,100,000",1100000.0
"16 Tranquility Grove, Woodville Estate, Coolock, Dublin 5", Dublin 5,3 Bed,1 Bath,Semi-D,121 m²,"€395,000",395000.0
"139 Rosemount, Clongower, Thurles, Co. Tipperary", Co. Tipperary,3 Bed,2 Bath,Terrace,105 m²,"€170,000",170000.0
"17 The Park, Blue Cedars, Ballybofey, Co. Donegal", Co. Donegal,3 Bed,3 Bath,Semi-D,,"€149,500",149500.0
"40 Heatherview Road, Aylesbury, Tallaght, Dublin 24", Dublin 24,3 Bed,2 Bath,Semi-D,111 m²,"€335,000",335000.0
"Attyterrila, Ruan, Ennis, Co. Clare", Co. Clare,,,Site,0.52 ac,"€90,000",90000.0
"19 Hyde Court, Golf Links Road, Roscommon Town, Co. Roscommon", Co. Roscommon,4 Bed,2 Bath,Detached,,"€450,000",450000.0
"Castlelands, Buttevant, Co. Cork", Co. Cork,6 Bed,3 Bath,Detached,243 m²,"€250,000",250000.0
"Kinnalargy School, Kinnalargy, Downings, Co. Donegal", Co. Donegal,3 Bed,1 Bath,Detached,,"€190,000",190000.0
"Apartment 6, Bow Bridge House, Bow Bridge, Kilmainham, Dublin 8", Dublin 8,1 Bed,1 Bath,Apartment,40 m²,"€190,000",190000.0
"No. 30 The Crescent, Fairfield Park, Co. Waterford", Co. Waterford,3 Bed,3 Bath,Semi-D,98 m²,"€195,000",195000.0
"28a Brunswick Street North, Smithfield, Dublin 7", Dublin 7,5 Bed,2 Bath,Terrace,99 m²,"€585,000",585000.0
"14 Derrynane Road, Turners Cross, Co. Cork", Co. Cork,3 Bed,2 Bath,Terrace,94 m²,"€220,000",220000.0
"Tirmoghan, Kilcock, Co. Kildare", Co. Kildare,4 Bed,4 Bath,Detached,158 m²,"€475,000",475000.0
"Apartment 88, Drynam House, Drynam Drive, Kinsealy, Co. Dublin", Co. Dublin,2 Bed,1 Bath,Apartment,70 m²,"€235,000",235000.0
"Ballynash, Foynes, Co. Limerick", Co. Limerick,3 Bed,1 Bath,Detached,78 m²,"€120,000",120000.0
"14 College View, Mountmellick, Co. Laois", Co. Laois,2 Bed,1 Bath,Apartment,73 m²,"€100,000",100000.0
"Mount-Carmel, South Circular Road, Co. Limerick", Co. Limerick,3 Bed,1 Bath,Semi-D,110 m²,Price on Application,0.0
"48 Portacarron, Ballymoneen Road, Knocknacarra, Co. Galway", Co. Galway,4 Bed,3 Bath,Semi-D,156 m²,"€325,000",325000.0
"27 Bryanstown, Drogheda, Co. Louth", Co. Louth,3 Bed,2 Bath,Detached,136 m²,"€395,000",395000.0
"192 Seapark, Malahide, Co. Dublin", Co. Dublin,4 Bed,4 Bath,Semi-D,130 m²,"€695,000",695000.0
"165 Killeagh Gardens, Midleton, Co. Cork", Co. Cork,3 Bed,3 Bath,Detached,,"€225,000",225000.0
"Woodbine Cottage, 14 Glenalua Road, Killiney, Co. Dublin", Co. Dublin,3 Bed,2 Bath,Semi-D,121 m²,"€620,000",620000.0
"Lissalway, Castlerea, Castleplunkett, Co. Roscommon", Co. Roscommon,4 Bed,3 Bath,Bungalow,243 m²,"€245,000",245000.0
"Cummer More, Kilcommon, Thurles, Co. Tipperary", Co. Tipperary,3 Bed,1 Bath,Detached,100 m²,"€95,000",95000.0
"35 Lealand Road, Clondalkin, Dublin 22", Dublin 22,3 Bed,1 Bath,End of Terrace,80 m²,"€199,000",199000.0
"Carrigdarrery, Lissarda, Co. Cork", Co. Cork,4 Bed,4 Bath,Detached,192 m²,"€380,000",380000.0
"Laburnum Lodge, Bunclody Road, Tullow, Co. Carlow", Co. Carlow,11 Bed,9 Bath,Detached,1.14 ac,"€750,000",750000.0
"2 Rexdon Court, Sandymount Avenue, Ballsbridge, Dublin 4", Dublin 4,3 Bed,3 Bath,Apartment,117 m²,"€1,095,000",1095000.0
"Pine View, Cappagh, Cappawhite, Co. Tipperary", Co. Tipperary,4 Bed,3 Bath,Detached,132 m²,"€298,000",298000.0
"26 Quinns Road, Shankill, Dublin 18", Dublin 18,5 Bed,3 Bath,Semi-D,150 m²,"€645,000",645000.0
"3 Loreto Terrace, Grange Road, Rathfarnham, Dublin 14", Dublin 14,2 Bed,1 Bath,Terrace,85 m²,"€355,000",355000.0
"7 Shantalla Avenue, Santry, Dublin 9", Dublin 9,3 Bed,1 Bath,Semi-D,100 m²,"€475,000",475000.0
"Drewstown House Estate, Athboy, Co. Meath", Co. Meath,,,Site,0.63 ac,"€49,995",49995.0
"Loughlinstown, Kilbrew, Ashbourne, Co. Meath", Co. Meath,,,Site,1 ac,"€170,000",170000.0
"Tully, Ballygar, Co. Galway", Co. Galway,4 Bed,3 Bath,Detached,127 m²,"€200,000",200000.0
"1962 Saint Dominic's Park, Newbridge, Co. Kildare", Co. Kildare,3 Bed,2 Bath,Terrace,73 m²,"€220,000",220000.0
"51 Rochestown Rise, Rochestown Road, Rochestown, Co. Cork", Co. Cork,4 Bed,2 Bath,Detached,136 m²,"€440,000",440000.0
"39-40 Lord Edward Street, Co. Limerick", Co. Limerick,,,Site,0.09 ac,"€200,000",200000.0
"Mount Heaton, Roscrea, Co. Tipperary", Co. Tipperary,5 Bed,3 Bath,Detached,263 m²,"€295,000",295000.0
"THE MILL APARTMENTS, 42 Mill Street, Baltinglass, Co. Wicklow", Co. Wicklow,2 Bed,2 Bath,Apartment,74 m²,"€140,000",140000.0
"8 Ocean Point, Courtown, Co. Wexford", Co. Wexford,3 Bed,2 Bath,Apartment,94 m²,"€195,000",195000.0
"Lomaunaghroe, Lavally, Tuam, Co. Galway", Co. Galway,3 Bed,1 Bath,Detached,123 m²,"€150,000",150000.0
"COACHMAN'S INN, Bauravilla, Skibbereen, Co. Cork", Co. Cork,6 Bed,4 Bath,Detached,,"€280,000",280000.0
"Cooldorragha, Portumna, Co. Galway", Co. Galway,4 Bed,4 Bath,Bungalow,190 m²,"€270,000",270000.0
"Ferney, 28 Beaumont Lawn, Ballintemple, Co. Cork", Co. Cork,4 Bed,2 Bath,Semi-D,122 m²,"€395,000",395000.0
"11 Cambria De Vesci Court, Monkstown, Co. Dublin", Co. Dublin,2 Bed,1 Bath,Apartment,64 m²,"€350,000",350000.0
"117 Glanntan, Co. Limerick", Co. Limerick,3 Bed,2 Bath,Apartment,67 m²,"€175,000",175000.0
"Crinken Lodge, Crinken Lane, Shankill, Dublin 18", Dublin 18,2 Bed,2 Bath,Semi-D,86 m²,"€395,000",395000.0
"Penthouse, Ballintyre Grove, Ballinteer, Dublin 16", Dublin 16,3 Bed,2 Bath,Apartment,150 m²,"€634,950",634950.0
"Eagle Heights B&B, Muckduff, Enniscrone, Co. Sligo", Co. Sligo,12 Bed,10 Bath,Detached,311 m²,"€465,000",465000.0
"Hutchinson's Lane, Swan Road, Durrow, Co. Laois", Co. Laois,5 Bed,4 Bath,Detached,,"€495,000",495000.0
"31 The View, Woodside, Bettystown, Co. Meath", Co. Meath,3 Bed,3 Bath,End of Terrace,105 m²,"€282,000",282000.0
"47 Serpentine Avenue, Ballsbridge, Sandymount, Dublin 4", Dublin 4,4 Bed,1 Bath,Semi-D,153 m²,"€1,300,000",1300000.0
"Moress Farm, Moress, Inch, Co. Donegal", Co. Donegal,6 Bed,4 Bath,Detached,,"€450,000",450000.0
"Ballyregan House, Killinick, Co. Wexford", Co. Wexford,6 Bed,4 Bath,Detached,312 m²,"€695,000",695000.0
"Jindabyne, Drummin Lane, Delgany, Co. Wicklow", Co. Wicklow,5 Bed,5 Bath,Detached,385 m²,"€1,200,000",1200000.0
"103 Ferguson Road, Drumcondra, Dublin 9", Dublin 9,3 Bed,2 Bath,Terrace,85 m²,"€475,000",475000.0
"Cill Mide, Kilmeedy, Co. Limerick", Co. Limerick,3 Bed,1 Bath,Detached,,"€150,000",150000.0
"Pallas, Kilmeedy, Co. Limerick", Co. Limerick,3 Bed,1 Bath,Semi-D,,"€50,000",50000.0
"11 Plunkett Avenue, Boyle, Co. Roscommon", Co. Roscommon,3 Bed,1 Bath,Semi-D,,"€98,000",98000.0
"Carriglen, Ballincollie, Dublin Pike, Co. Cork", Co. Cork,,,Site,0.85 ac,"€275,000",275000.0
"Marville, Arravale Terrace, Tipperary Town, Co. Tipperary", Co. Tipperary,2 Bed,1 Bath,Semi-D,72 m²,"€130,000",130000.0
"125 Saint Finian's Park, Moville, Co. Donegal", Co. Donegal,3 Bed,1 Bath,Semi-D,88 m²,"€130,000",130000.0
"9 Cois na Curra, Lisgoold, Midleton, Co. Cork", Co. Cork,3 Bed,3 Bath,Terrace,93 m²,"€275,000",275000.0
"8 Cois na Curra, Lisgoold, Midleton, Co. Cork", Co. Cork,3 Bed,3 Bath,Terrace,82 m²,"€270,000",270000.0
"103 Cuirt Seoige, Bohermore, Co. Galway", Co. Galway,2 Bed,2 Bath,Apartment,84 m²,"€275,000",275000.0
"25 Killakee Grove, Firhouse, Dublin 24", Dublin 24,3 Bed,2 Bath,Semi-D,100 m²,"€399,000",399000.0
"Carrickgorman, Bailieborough, Co. Cavan", Co. Cavan,1 Bed,,Detached,34 m²,"€89,000",89000.0
"7 Harbour View, Carlingford, Co. Louth", Co. Louth,3 Bed,4 Bath,Terrace,,"€349,000",349000.0
"Crocknamurleog, Downings, Co. Donegal", Co. Donegal,5 Bed,4 Bath,Detached,180 m²,"€435,000",435000.0
"Apt. 14 The Warehouse, Clanbrassil Terrace, Dublin 8", Dublin 8,1 Bed,,Apartment,113 m²,"€500,000",500000.0
"7 Rathlinn, Castleconnell, Co. Limerick", Co. Limerick,4 Bed,5 Bath,Detached,297 m²,"€715,000",715000.0
"Le Cheile, Chapel Road, Monivea, Co. Galway", Co. Galway,4 Bed,6 Bath,Detached,442 m²,"€595,000",595000.0
"11 The Grove, Martello Village, Drogheda, Co. Louth", Co. Louth,2 Bed,2 Bath,Apartment,65 m²,"€140,000",140000.0
"Apartment 1, Emmet Lodge, Old Brewery Lane, Clonakilty, Co. Cork", Co. Cork,2 Bed,2 Bath,Apartment,60 m²,"€169,000",169000.0
"Old Cottage, Drisheen, Skibbereen, Co. Cork", Co. Cork,2 Bed,2 Bath,Detached,107 m²,"€325,000",325000.0
"66 Mountain VIew Park, Rathfarnham, Dublin 14", Dublin 14,,,Terrace,,"€365,000",365000.0
"17 Kelly's Bay Strand, Skerries, Co. Dublin", Co. Dublin,3 Bed,3 Bath,Semi-D,106 m²,"€365,000",365000.0
"Ardnaglass, Skreen, Co. Sligo", Co. Sligo,1 Bed,,Detached,,"€80,000",80000.0
"Fehanagh, Lauragh, Kenmare, Co. Kerry", Co. Kerry,2 Bed,1 Bath,Detached,,"€120,000",120000.0
"42 Deanstown Road, Finglas, Dublin 11", Dublin 11,3 Bed,1 Bath,Terrace,65 m²,"€235,000",235000.0
"Bridge Street, Clara, Co. Offaly", Co. Offaly,,,Site,0.2 ac,"€85,000",85000.0
"Corkey, Manorcunningham, Co. Donegal", Co. Donegal,3 Bed,2 Bath,Detached,102 m²,"€200,000",200000.0
"Bayview Lodge, Merton Square, Kilkee, Co. Clare", Co. Clare,3 Bed,2 Bath,Detached,,"€299,950",299950.0
"66 Meadowvale, Raheen, Co. Limerick", Co. Limerick,4 Bed,2 Bath,Detached,144 m²,"€380,000",380000.0
"69 Mountain View Park, Churchtown, Dublin 14", Dublin 14,4 Bed,1 Bath,Terrace,87 m²,"€385,000",385000.0
"Cornafulla, Athlone, Co. Roscommon", Co. Roscommon,,,Site,2 ac,"€70,000",70000.0
"Pearse Road, Sligo, Co. Sligo", Co. Sligo,4 Bed,2 Bath,Detached,132 m²,"€200,000",200000.0
"CONROY'S MACE, Main Street, Ballaghaderreen, Co. Roscommon", Co. Roscommon,5 Bed,2 Bath,Terrace,248 m²,"AMV: €99,000",99000.0
"Saint Mary's Road, Edenderry, Co. Offaly", Co. Offaly,3 Bed,1 Bath,Detached,128 m²,"€285,000",285000.0
"11 Ramleh Hall, Mount St Annes, Miltown, Milltown, Dublin 6", Dublin 6,2 Bed,2 Bath,Apartment,104 m²,"€635,000",635000.0
"Ardmore, Timoleague, Co. Cork", Co. Cork,4 Bed,3 Bath,Bungalow,151 m²,"€345,000",345000.0
"Oldtown, Culdaff, Co. Donegal", Co. Donegal,3 Bed,2 Bath,Detached,135 m²,"€130,000",130000.0
"59 Threadneedle Road, Salthill, Co. Galway", Co. Galway,5 Bed,2 Bath,Detached,131 m²,"€600,000",600000.0
"Spring Garden, Dromard, Co. Sligo", Co. Sligo,3 Bed,1 Bath,Detached,136 m²,"€140,000",140000.0
"Burnside Cottage, Keel West, Achill, Co. Mayo", Co. Mayo,4 Bed,2 Bath,Detached,143 m²,Price on Application,0.0
"118 Belfry Hall, Citywest, Co. Dublin", Co. Dublin,2 Bed,2 Bath,Apartment,65 m²,"€215,000",215000.0
"Apartment 36, Nephin Halls, Castlebar, Co. Mayo", Co. Mayo,2 Bed,1 Bath,Apartment,67 m²,"€120,000",120000.0
"24 Straffan Place, Straffan Wood, Maynooth, Co. Kildare", Co. Kildare,3 Bed,3 Bath,Semi-D,,"€300,000",300000.0
"Tircathain House, Fir Na Creeve, Dunfanaghy, Co. Donegal", Co. Donegal,3 Bed,3 Bath,Detached,140 m²,"€375,000",375000.0
"8 Kilcarberry Avenue, Clondalkin, Dublin 22", Dublin 22,3 Bed,1 Bath,Terrace,,"€279,000",279000.0
"Homefarm, Moycullen, Co. Galway", Co. Galway,,,Site,1.06 ac,"AMV: €20,000",20000.0
"23 High Park, Grace Park Road, Drumcondra, Dublin 3", Dublin 3,3 Bed,2 Bath,Semi-D,116 m²,"€435,000",435000.0
"Kippane, Charleville, Co. Cork", Co. Cork,4 Bed,2 Bath,Detached,151 m²,"€250,000",250000.0
"Parkview, Apartment 40, Charleville, Co. Cork", Co. Cork,3 Bed,3 Bath,Apartment,110 m²,"€110,000",110000.0
"Chestnut Lane, Dangan, Co. Galway", Co. Galway,5 Bed,3 Bath,Bungalow,267 m²,"€1,200,000",1200000.0
"18 Clonmore Road, Mount Merrion, Co. Dublin", Co. Dublin,3 Bed,1 Bath,Bungalow,90 m²,"€650,000",650000.0
"23 Glenview Drive, Monaghan, Co. Monaghan", Co. Monaghan,4 Bed,2 Bath,Semi-D,112 m²,"€180,000",180000.0
"24 Ellensborough Crescent, Kiltipper Road, Tallaght, Dublin 24", Dublin 24,3 Bed,3 Bath,Semi-D,100 m²,"€340,000",340000.0
"17 Centenary Row, Old Youghal Road, Ballyhooly, Co. Cork", Co. Cork,4 Bed,3 Bath,Terrace,100 m²,"€340,000",340000.0
"Narrabane North, Kilmacow, Co. Kilkenny, Co. Waterford", Co. Waterford,3 Bed,1 Bath,Bungalow,,"€205,000",205000.0
"Minerva, Retreat Road, Athlone, Co. Westmeath", Co. Westmeath,4 Bed,2 Bath,Detached,,"€270,000",270000.0
"12 Churchview, Claregalway, Co. Galway", Co. Galway,5 Bed,4 Bath,Detached,160 m²,"€220,000",220000.0
"76 Upper Friars Rd, Turners Cross, Co. Cork", Co. Cork,4 Bed,2 Bath,Detached,127 m²,"€380,000",380000.0
"Site No.4 with Outline Planning At Edoxtown, Rathfeigh, Tara, Co. Meath", Co. Meath,,,Site,0.5 ac,"€100,000",100000.0
"Site No.3 with Outline Planning At Edoxtown, Rathfeigh, Tara, Co. Meath", Co. Meath,,,Site,0.5 ac,"€100,000",100000.0
"16 High Road, Letterkenny, Co. Donegal", Co. Donegal,6 Bed,4 Bath,Townhouse,158 m²,"€275,000",275000.0
"Residence at Taylors Hill Road, Co. Galway", Co. Galway,4 Bed,4 Bath,Detached,,Price on Application,0.0
"Windy Heights, Ballyleigh, Waterfall, Co. Cork", Co. Cork,4 Bed,,Bungalow,150 m²,"€440,000",440000.0
"Tirhogar, Portarlington, Co. Laois", Co. Laois,3 Bed,1 Bath,Detached,130 m²,"€105,000",105000.0
"25 Millmount Avenue, Drumcondra, Dublin 9", Dublin 9,3 Bed,3 Bath,Terrace,128 m²,"€650,000",650000.0
"Carrabawn, Westport, Co. Mayo", Co. Mayo,,,Site,0.75 ac,Price on Application,0.0
"31 College Vale, Mullingar, Co. Westmeath", Co. Westmeath,4 Bed,3 Bath,Semi-D,,"€235,000",235000.0
"Annacrevy, Sligo, Co. Sligo", Co. Sligo,4 Bed,3 Bath,Detached,191 m²,"€485,000",485000.0
"46 Church Fields, Clonlara, Co. Clare", Co. Clare,4 Bed,3 Bath,Semi-D,122 m²,"€280,000",280000.0
"Site No. 2 With Outline Planning At Edoxtown, Rathfeigh, Tara, Co. Meath", Co. Meath,,,Site,0.5 ac,"€100,000",100000.0
"Lisbealad East, Dunmanway, Co. Cork", Co. Cork,,,Site,0.5 ac,"€45,000",45000.0
"Grange Hill, Ovens, Co. Cork", Co. Cork,3 Bed,1 Bath,Detached,,"€375,000",375000.0
"Lorna, 7 Verona Villas, Co. Limerick", Co. Limerick,6 Bed,5 Bath,Terrace,288 m²,"€695,000",695000.0
"Scortreen Stables, Scortreen, Borris, Co. Carlow", Co. Carlow,,,Site,6.22 ac,"€599,000",599000.0
"1 Foxes Covert, Mount Juliet Estate, Thomastown, Kilkenny, Co. Kilkenny", Co. Kilkenny,4 Bed,4 Bath,Detached,367 m²,"€1,250,000",1250000.0
"Cornadowagh, Newtowncashel, Co. Longford", Co. Longford,4 Bed,2 Bath,Detached,167 m²,"€275,000",275000.0
"Ahaneboy, Castleisland, Co. Kerry", Co. Kerry,3 Bed,2 Bath,Detached,85 m²,"€75,000",75000.0
"Bengerstown, Lobinstown, Co. Meath", Co. Meath,4 Bed,3 Bath,Detached,346 m²,"€375,000",375000.0
"Tooreennagrena, Bantry, Co. Cork", Co. Cork,3 Bed,1 Bath,Detached,78 m²,Price on Application,0.0
"14 Larkin Street, Clonakilty, Co. Cork", Co. Cork,3 Bed,2 Bath,Townhouse,77 m²,"€195,000",195000.0
"13 Redwood Avenue, Broomfield, Midleton, Co. Cork", Co. Cork,4 Bed,4 Bath,Semi-D,125 m²,"€285,000",285000.0
"Sunset View, Old Ballymore Road, Blessington, Co. Wicklow", Co. Wicklow,4 Bed,2 Bath,Detached,,"€395,000",395000.0
"Corbeha, Caher, Co. Clare", Co. Clare,3 Bed,2 Bath,Detached,1480 m²,AMV: Price on Application,0.0
"Cabragh, Carnaross, Co. Meath", Co. Meath,,,Site,0.66 ac,"€56,000",56000.0
"19 Delfern Grove, Maryborough Hill, Douglas, Co. Cork", Co. Cork,3 Bed,2 Bath,Semi-D,104 m²,"€310,000",310000.0
"44 Árd Na Greine, Kilnagurteen, Macroom, Co. Cork", Co. Cork,3 Bed,3 Bath,Semi-D,102 m²,"€220,000",220000.0
"Oldbridge Road, Cootehill, Co. Cavan", Co. Cavan,3 Bed,2 Bath,Detached,,"€165,000",165000.0
"25 Kilworth Road, Drimnagh, Dublin 12", Dublin 12,3 Bed,2 Bath,End of Terrace,,"€399,950",399950.0
"The Steading, (On 7.65 Acres) Drummin East, Delgany, Co. Wicklow", Co. Wicklow,4 Bed,3 Bath,Detached,224 m²,"€1,500,000",1500000.0
"10 Hazelwood, Shankill, Dublin 18", Dublin 18,4 Bed,2 Bath,Semi-D,157 m²,"€595,000",595000.0
"10 Packenham, Sloperton, Monkstown, Co. Dublin", Co. Dublin,2 Bed,1 Bath,Apartment,65 m²,"€395,000",395000.0
"24 Sherrard Avenue, Dublin 1", Dublin 1,2 Bed,1 Bath,End of Terrace,50 m²,"€279,000",279000.0
"36 Clonough Avenue, Limerick Road, Castleisland, Co. Kerry", Co. Kerry,3 Bed,3 Bath,Semi-D,115 m²,"€205,000",205000.0
"Ballinaspick, Moate, Co. Westmeath", Co. Westmeath,3 Bed,1 Bath,Bungalow,96 m²,"€230,000",230000.0
"58 Glentow Road, Whitehall, Dublin 9", Dublin 9,2 Bed,2 Bath,Terrace,75 m²,"€350,000",350000.0
"59 Cooleen Avenue, Beaumont, Dublin 9", Dublin 9,3 Bed,2 Bath,Semi-D,91 m²,"€380,000",380000.0
